,,,,,,from days,from death,,,,,,,
21,2,1,16,213,1249320,4,7503,,,,,,,
21,2,2,5,213,1249320,4,7503,,,,,,,
22,2,1,22,213,1249320,4,7503,,,,,,,
3,0,2,5,214,1249321,5,7504,,,,,,,
23,2,1,12,213,1249321,4,7504,,,,,,,
22,2,1,14,213,1249323,4,7506,,,,,,,
23,2,1,18,213,1249323,4,7506,,,,,,,
19,2,2,21,214,1249324,5,7507,,,,,,,
8,1,1,23,214,1249325,5,7508,,,,,,,
8,1,2,20,214,1249326,5,7509,,,,,,,
10,1,1,3,213,1249327,4,7510,,,,,,,
20,2,2,6,213,1249327,4,7510,,,,,,,
23,2,1,14,213,1249328,4,7511,,,,,,,
24,2,1,23,213,1249328,4,7511,,,,,,,
3,0,2,8,214,1249329,5,7512,,,,,,,
9,1,1,18,214,1249329,5,7512,,,,,,,
22,2,1,13,213,1249329,4,7512,,,,,,,
18,2,2,11,213,1249331,4,7514,,,,,,,
21,2,2,3,213,1249331,4,7514,,,,,,,
22,2,2,3,213,1249331,4,7514,,,,,,,
8,1,2,24,214,1249333,5,7516,,,,,,,
23,2,1,20,213,1249333,4,7516,,,,,,,
8,1,1,13,214,1249334,5,7517,,,,,,,
8,1,1,12,214,1249336,5,7519,,,,,,,
16,2,2,24,214,1249336,5,7519,,,,,,,
19,2,2,15,214,1249336,5,7519,,,,,,,
8,1,1,17,214,1249337,5,7520,,,,,,,
20,2,2,9,213,1249337,4,7520,,,,,,,
17,2,2,14,213,1249338,4,7521,,,,,,,
9,1,2,8,213,1249339,4,7522,,,,,,,
9,1,2,11,213,1249339,4,7522,,,,,,,
9,1,2,17,213,1249339,4,7522,,,,,,,
12,1,1,0,213,1249340,4,7523,,,,,,,
17,2,2,23,214,1249340,5,7523,,,,,,,
19,2,2,8,213,1249340,4,7523,,,,,,,
24,2,2,0,213,1249340,4,7523,,,,,,,
19,2,2,9,213,1249341,4,7524,,,,,,,
22,2,1,21,213,1249341,4,7524,,,,,,,
20,2,1,21,213,1249342,4,7525,,,,,,,
20,2,1,22,213,1249342,4,7525,,,,,,,
23,2,1,13,213,1249342,4,7525,,,,,,,
8,1,1,19,214,1249343,5,7526,,,,,,,
21,2,1,17,213,1249344,4,7527,,,,,,,
23,2,2,1,213,1249347,4,7530,,,,,,,
8,1,2,23,213,1249348,4,7531,,,,,,,
9,1,1,7,213,1249348,4,7531,,,,,,,
18,2,2,14,213,1249348,4,7531,,,,,,,
21,2,1,13,213,1249348,4,7531,,,,,,,
21,2,1,24,213,1249348,4,7531,,,,,,,
17,2,2,21,214,1249349,5,7532,,,,,,,
18,2,2,9,213,1249349,4,7532,,,,,,,
19,2,2,7,213,1249349,4,7532,,,,,,,
9,1,1,3,213,1249352,4,7535,,,,,,,
18,2,2,6,213,1249352,4,7535,,,,,,,
22,2,1,18,213,1249352,4,7535,,,,,,,
23,2,1,23,213,1249352,4,7535,,,,,,,
24,2,1,8,213,1249352,4,7535,,,,,,,
17,2,2,24,214,1249353,5,7536,,,,,,,
22,2,1,15,213,1249353,4,7536,,,,,,,
24,2,1,9,213,1249353,4,7536,,,,,,,
11,1,1,1,213,1249354,4,7537,,,,,,,
17,2,2,22,214,1249354,5,7537,,,,,,,
22,2,2,2,213,1249354,4,7537,,,,,,,
22,2,1,23,214,1249355,5,7538,,,,,,,
17,2,2,20,214,1249356,5,7539,,,,,,,
23,2,1,17,213,1249356,4,7539,,,,,,,
20,2,1,24,214,1249357,5,7540,,,,,,,
20,2,1,16,213,1249358,4,7541,,,,,,,
21,2,2,4,213,1249358,4,7541,,,,,,,
22,2,1,10,213,1249358,4,7541,,,,,,,
15,2,2,22,214,1249359,5,7542,,,,,,,
20,2,1,19,213,1249359,4,7542,,,,,,,
12,1,2,0,213,1249362,4,7545,,,,,,,
9,1,1,20,214,1249363,5,7546,,,,,,,
22,2,1,11,213,1249364,4,7547,,,,,,,
8,1,2,16,213,1249365,4,7548,,,,,,,
16,2,2,15,213,1249365,4,7548,,,,,,,
3,0,2,6,214,1249366,5,7549,,,,,,,
10,1,2,4,213,1249366,4,7549,,,,,,,
19,2,2,13,213,1249366,4,7549,,,,,,,
3,0,2,9,214,1249370,5,7553,,,,,,,
23,2,1,19,213,1249370,4,7553,,,,,,,
16,2,2,21,214,1249372,5,7555,,,,,,,
20,2,2,5,213,1249372,4,7555,,,,,,,
17,2,2,19,213,1249373,4,7556,,,,,,,
23,2,1,8,213,1249373,4,7556,,,,,,,
8,1,2,15,213,1249374,4,7557,,,,,,,
9,1,1,4,213,1249376,4,7559,,,,,,,
18,2,2,8,213,1249376,4,7559,,,,,,,
22,2,1,20,213,1249376,4,7559,,,,,,,
19,2,2,6,213,1249377,4,7560,,,,,,,
24,2,1,4,213,1249378,4,7561,,,,,,,
19,2,1,20,213,1249379,4,7562,,,,,,,
17,2,2,13,214,1249380,5,7563,,,,,,,
10,1,2,3,214,1249381,5,7564,,,,,,,
17,2,2,11,213,1249381,4,7564,,,,,,,
21,2,1,19,213,1249382,4,7565,,,,,,,
9,1,2,5,214,1249384,5,7567,,,,,,,
7,1,1,24,214,1249385,5,7568,,,,,,,
23,2,2,0,213,1249385,4,7568,,,,,,,
20,2,1,15,213,1249387,4,7570,,,,,,,
18,2,2,7,213,1249388,4,7571,,,,,,,
21,2,1,18,214,1249388,5,7571,,,,,,,
22,2,1,12,213,1249388,4,7571,,,,,,,
20,2,1,23,213,1249390,4,7573,,,,,,,
21,2,1,20,213,1249391,4,7574,,,,,,,
24,2,1,5,213,1249393,4,7576,,,,,,,
8,1,2,13,213,1249396,4,7579,,,,,,,
20,2,1,20,213,1249400,4,7583,,,,,,,
8,1,2,17,213,1249401,4,7584,,,,,,,
8,1,1,10,214,1249403,5,7586,,,,,,,
10,1,1,2,213,1249403,4,7586,,,,,,,
16,2,2,20,214,1249403,5,7586,,,,,,,
18,2,2,13,213,1249403,4,7586,,,,,,,
18,2,2,23,214,1249403,5,7586,,,,,,,
20,2,2,4,213,1249403,4,7586,,,,,,,
8,1,2,10,214,1249404,5,7587,,,,,,,
21,2,1,15,213,1249404,4,7587,,,,,,,
19,2,1,24,214,1249405,5,7588,,,,,,,
8,1,2,19,214,1249406,5,7589,,,,,,,
22,2,2,1,213,1249406,4,7589,,,,,,,
8,1,1,11,214,1249407,5,7590,,,,,,,
16,2,2,22,214,1249407,5,7590,,,,,,,
20,2,1,13,213,1249408,4,7591,,,,,,,
8,1,2,21,214,1249409,5,7592,,,,,,,
11,1,2,1,213,1249410,4,7593,,,,,,,
17,2,2,16,213,1249410,4,7593,,,,,,,
18,2,1,23,213,1249412,4,7595,,,,,,,
19,2,1,12,213,1249412,4,7595,,,,,,,
23,2,1,7,213,1249412,4,7595,,,,,,,
23,2,1,10,213,1249412,4,7595,,,,,,,
21,2,1,11,213,1249413,4,7596,,,,,,,
16,2,2,19,214,1249414,5,7597,,,,,,,
21,2,2,2,213,1249414,4,7597,,,,,,,
15,2,2,24,214,1249416,5,7599,,,,,,,
18,2,1,14,213,1249420,4,7603,,,,,,,
18,2,1,18,213,1249420,4,7603,,,,,,,
15,2,2,21,213,1249421,4,7604,,,,,,,
20,2,1,9,213,1249422,4,7605,,,,,,,
21,2,1,21,213,1249423,4,7606,,,,,,,
7,1,2,24,214,1249424,5,7607,,,,,,,
15,2,2,15,213,1249425,4,7608,,,,,,,
15,2,2,23,214,1249425,5,7608,,,,,,,
24,2,1,7,213,1249425,4,7608,,,,,,,
8,1,1,15,214,1249426,5,7609,,,,,,,
19,2,1,22,214,1249427,5,7610,,,,,,,
21,2,1,22,213,1249427,4,7610,,,,,,,
24,2,1,6,213,1249427,4,7610,,,,,,,
18,2,1,17,213,1249428,4,7611,,,,,,,
18,2,2,5,213,1249429,4,7612,,,,,,,
19,2,2,4,213,1249429,4,7612,,,,,,,
20,2,1,14,213,1249429,4,7612,,,,,,,
20,2,1,17,213,1249430,4,7613,,,,,,,
20,2,2,3,213,1249432,4,7615,,,,,,,
8,1,1,16,214,1249433,5,7616,,,,,,,
19,2,2,5,213,1249433,4,7616,,,,,,,
23,2,1,4,213,1249433,4,7616,,,,,,,
23,2,1,5,213,1249433,4,7616,,,,,,,
8,1,1,7,214,1249434,5,7617,,,,,,,
16,2,2,14,214,1249434,5,7617,,,,,,,
19,2,1,13,213,1249434,4,7617,,,,,,,
9,1,2,4,213,1249435,4,7618,,,,,,,
11,1,1,0,213,1249435,4,7618,,,,,,,
22,2,2,0,213,1249435,4,7618,,,,,,,
8,1,2,11,213,1249437,4,7620,,,,,,,
19,2,1,18,213,1249437,4,7620,,,,,,,
8,1,2,18,213,1249439,4,7622,,,,,,,
23,2,1,6,213,1249439,4,7622,,,,,,,
21,2,1,12,213,1249440,4,7623,,,,,,,
22,2,1,8,213,1249440,4,7623,,,,,,,
17,2,2,8,213,1249441,4,7624,,,,,,,
21,2,2,1,213,1249441,4,7624,,,,,,,
17,2,2,9,213,1249443,4,7626,,,,,,,
16,2,2,11,213,1249444,4,7627,,,,,,,
17,2,2,17,214,1249444,5,7627,,,,,,,
8,1,1,5,213,1249445,4,7628,,,,,,,
10,1,2,2,213,1249445,4,7628,,,,,,,
16,2,2,10,213,1249445,4,7628,,,,,,,
18,2,1,16,213,1249446,4,7629,,,,,,,
22,2,1,5,213,1249446,4,7629,,,,,,,
19,2,1,16,213,1249448,4,7631,,,,,,,
19,2,1,23,213,1249448,4,7631,,,,,,,
22,2,1,7,213,1249449,4,7632,,,,,,,
8,1,2,14,213,1249450,4,7633,,,,,,,
8,1,2,22,214,1249450,5,7633,,,,,,,
20,2,1,18,213,1249450,4,7633,,,,,,,
21,2,1,9,213,1249451,4,7634,,,,,,,
19,2,1,17,213,1249452,4,7635,,,,,,,
18,2,1,24,214,1249454,5,7637,,,,,,,
8,1,1,8,213,1249455,4,7638,,,,,,,
16,2,2,16,213,1249455,4,7638,,,,,,,
7,1,1,17,214,1249456,5,7639,,,,,,,
14,2,2,23,213,1249456,4,7639,,,,,,,
17,2,1,21,214,1249456,5,7639,,,,,,,
15,2,2,12,213,1249457,4,7640,,,,,,,
22,2,1,9,213,1249457,4,7640,,,,,,,
19,2,1,14,213,1249458,4,7641,,,,,,,
17,2,2,12,214,1249459,5,7642,,,,,,,
3,0,2,4,214,1249460,5,7643,,,,,,,
8,1,1,6,213,1249460,4,7643,,,,,,,
8,1,2,9,213,1249460,4,7643,,,,,,,
16,2,2,12,213,1249460,4,7643,,,,,,,
19,2,1,21,213,1249460,4,7643,,,,,,,
18,2,1,12,213,1249463,4,7646,,,,,,,
15,2,2,18,214,1249464,5,7647,,,,,,,
10,1,1,1,213,1249465,4,7648,,,,,,,
20,2,2,2,213,1249465,4,7648,,,,,,,
17,2,2,10,213,1249467,4,7650,,,,,,,
18,2,1,21,213,1249467,4,7650,,,,,,,
19,2,1,10,213,1249468,4,7651,,,,,,,
18,2,1,19,213,1249469,4,7652,,,,,,,
20,2,1,12,213,1249469,4,7652,,,,,,,
22,2,1,6,213,1249470,4,7653,,,,,,,
7,1,1,16,214,1249471,5,7654,,,,,,,
8,1,2,12,214,1249471,5,7654,,,,,,,
19,2,2,2,213,1249473,4,7656,,,,,,,
7,1,1,21,213,1249474,4,7657,,,,,,,
8,1,1,9,214,1249474,5,7657,,,,,,,
16,2,2,18,214,1249474,5,7657,,,,,,,
16,2,2,17,214,1249475,5,7658,,,,,,,
19,2,1,15,213,1249477,4,7660,,,,,,,
15,2,2,16,213,1249479,4,7662,,,,,,,
16,2,1,21,213,1249479,4,7662,,,,,,,
15,2,2,20,214,1249481,5,7664,,,,,,,
18,2,1,22,213,1249481,4,7664,,,,,,,
15,2,2,14,213,1249483,4,7666,,,,,,,
18,2,1,20,213,1249483,4,7666,,,,,,,
9,1,1,2,213,1249484,4,7667,,,,,,,
18,2,2,4,213,1249484,4,7667,,,,,,,
21,2,1,6,213,1249484,4,7667,,,,,,,
24,2,1,2,213,1249484,4,7667,,,,,,,
11,1,2,0,213,1249485,4,7668,,,,,,,
18,2,2,3,213,1249486,4,7669,,,,,,,
16,2,2,7,213,1249487,4,7670,,,,,,,
18,2,1,13,213,1249487,4,7670,,,,,,,
19,2,1,19,213,1249487,4,7670,,,,,,,
7,1,1,20,214,1249488,5,7671,,,,,,,
14,2,2,21,214,1249488,5,7671,,,,,,,
17,2,1,23,213,1249488,4,7671,,,,,,,
20,2,1,6,213,1249488,4,7671,,,,,,,
16,2,2,13,213,1249490,4,7673,,,,,,,
3,0,2,3,214,1249491,5,7674,,,,,,,
20,2,1,10,213,1249491,4,7674,,,,,,,
21,2,1,10,213,1249491,4,7674,,,,,,,
17,2,2,6,213,1249493,4,7676,,,,,,,
19,2,1,8,213,1249493,4,7676,,,,,,,
7,1,1,15,214,1249494,5,7677,,,,,,,
17,2,1,14,213,1249494,4,7677,,,,,,,
8,1,2,8,213,1249495,4,7678,,,,,,,
9,1,2,3,213,1249495,4,7678,,,,,,,
20,2,2,1,213,1249495,4,7678,,,,,,,
21,2,2,0,213,1249495,4,7678,,,,,,,
7,1,1,18,214,1249496,5,7679,,,,,,,
8,1,2,7,213,1249497,4,7680,,,,,,,
23,2,1,3,213,1249497,4,7680,,,,,,,
20,2,1,11,213,1249498,4,7681,,,,,,,
17,2,1,18,213,1249499,4,7682,,,,,,,
16,2,2,9,213,1249502,4,7685,,,,,,,
17,2,1,24,213,1249502,4,7685,,,,,,,
24,2,1,3,213,1249503,4,7686,,,,,,,
21,2,1,8,213,1249504,4,7687,,,,,,,
15,2,2,17,213,1249508,4,7691,,,,,,,
17,2,1,15,213,1249511,4,7694,,,,,,,
19,2,2,3,213,1249511,4,7694,,,,,,,
22,2,1,3,213,1249511,4,7694,,,,,,,
24,2,1,1,213,1249511,4,7694,,,,,,,
16,2,2,23,214,1249512,5,7695,,,,,,,
17,2,2,4,213,1249512,4,7695,,,,,,,
18,2,1,10,213,1249515,4,7698,,,,,,,
8,1,2,6,213,1249519,4,7702,,,,,,,
7,1,2,16,213,1249520,4,7703,,,,,,,
7,1,1,23,214,1249522,5,7705,,,,,,,
17,2,1,20,213,1249522,4,7705,,,,,,,
17,2,2,7,213,1249522,4,7705,,,,,,,
7,1,2,19,213,1249523,4,7706,,,,,,,
7,1,1,19,214,1249524,5,7707,,,,,,,
8,1,2,5,213,1249524,4,7707,,,,,,,
15,2,2,13,214,1249525,5,7708,,,,,,,
10,1,2,1,213,1249528,4,7711,,,,,,,
17,2,1,9,213,1249528,4,7711,,,,,,,
20,2,1,8,213,1249529,4,7712,,,,,,,
15,2,2,19,214,1249530,5,7713,,,,,,,
23,2,1,2,213,1249536,4,7719,,,,,,,
19,2,1,11,213,1249537,4,7720,,,,,,,
21,2,1,7,213,1249538,4,7721,,,,,,,
18,2,1,9,213,1249539,4,7722,,,,,,,
15,2,2,11,213,1249541,4,7724,,,,,,,
7,1,2,22,214,1249542,5,7725,,,,,,,
14,2,2,11,213,1249542,4,7725,,,,,,,
15,2,2,9,213,1249542,4,7725,,,,,,,
16,2,1,22,213,1249542,4,7725,,,,,,,
9,1,2,2,213,1249544,4,7727,,,,,,,
14,2,2,19,214,1249544,5,7727,,,,,,,
15,2,1,22,213,1249544,4,7727,,,,,,,
21,2,1,4,213,1249544,4,7727,,,,,,,
22,2,1,2,213,1249544,4,7727,,,,,,,
22,2,1,4,213,1249546,4,7729,,,,,,,
13,2,2,22,214,1249548,5,7731,,,,,,,
7,1,2,10,214,1249549,5,7732,,,,,,,
7,1,2,18,214,1249549,5,7732,,,,,,,
23,2,1,1,213,1249550,4,7733,,,,,,,
14,2,2,15,213,1249552,4,7735,,,,,,,
7,1,1,12,213,1249553,4,7736,,,,,,,
13,2,2,18,213,1249553,4,7736,,,,,,,
14,2,2,24,213,1249553,4,7736,,,,,,,
17,2,2,5,213,1249555,4,7738,,,,,,,
20,2,1,7,213,1249555,4,7738,,,,,,,
7,1,1,7,214,1249557,5,7740,,,,,,,
10,1,1,0,213,1249557,4,7740,,,,,,,
14,2,2,14,214,1249557,5,7740,,,,,,,
20,2,2,0,213,1249557,4,7740,,,,,,,
18,2,1,15,213,1249558,4,7741,,,,,,,
19,2,1,9,213,1249558,4,7741,,,,,,,
7,1,1,14,214,1249559,5,7742,,,,,,,
18,2,1,8,213,1249559,4,7742,,,,,,,
18,2,1,11,213,1249560,4,7743,,,,,,,
7,1,2,23,214,1249563,5,7746,,,,,,,
24,2,1,0,213,1249563,4,7746,,,,,,,
7,1,1,22,214,1249565,5,7748,,,,,,,
17,2,1,22,213,1249566,4,7749,,,,,,,
14,2,2,17,214,1249567,5,7750,,,,,,,
15,2,1,21,213,1249568,4,7751,,,,,,,
17,2,1,19,213,1249569,4,7752,,,,,,,
21,2,1,2,213,1249572,4,7755,,,,,,,
7,1,1,9,214,1249576,5,7759,,,,,,,
14,2,2,18,214,1249576,5,7759,,,,,,,
7,1,1,6,213,1249579,4,7762,,,,,,,
14,2,2,12,213,1249579,4,7762,,,,,,,
17,2,1,13,213,1249579,4,7762,,,,,,,
19,2,2,1,213,1249580,4,7763,,,,,,,
7,1,2,20,214,1249582,5,7765,,,,,,,
21,2,1,5,213,1249582,4,7765,,,,,,,
8,1,1,3,213,1249583,4,7766,,,,,,,
9,1,1,1,213,1249583,4,7766,,,,,,,
16,2,2,5,213,1249583,4,7766,,,,,,,
16,2,2,6,213,1249583,4,7766,,,,,,,
18,2,2,2,213,1249583,4,7766,,,,,,,
8,1,1,4,213,1249586,4,7769,,,,,,,
16,2,2,8,213,1249586,4,7769,,,,,,,
7,1,2,9,213,1249589,4,7772,,,,,,,
17,2,1,16,213,1249589,4,7772,,,,,,,
7,1,1,13,214,1249591,5,7774,,,,,,,
2,0,1,0,214,1249593,5,7776,,,,,,,
4,0,2,0,214,1249593,5,7776,,,,,,,
19,2,1,5,213,1249593,4,7776,,,,,,,
15,2,2,8,213,1249594,4,7777,,,,,,,
16,2,1,24,214,1249594,5,7777,,,,,,,
17,2,1,8,213,1249594,4,7777,,,,,,,
7,1,2,11,214,1249595,5,7778,,,,,,,
6,1,1,20,213,1249596,4,7779,,,,,,,
7,1,2,13,213,1249596,4,7779,,,,,,,
21,2,1,3,213,1249596,4,7779,,,,,,,
6,1,1,22,214,1249597,5,7780,,,,,,,
16,2,1,18,213,1249597,4,7780,,,,,,,
19,2,1,7,213,1249599,4,7782,,,,,,,
16,2,1,23,213,1249600,4,7783,,,,,,,
14,2,1,23,213,1249601,4,7784,,,,,,,
23,2,1,0,213,1249601,4,7784,,,,,,,
15,2,1,17,213,1249603,4,7786,,,,,,,
17,2,1,6,213,1249604,4,7787,,,,,,,
17,2,2,3,213,1249604,4,7787,,,,,,,
20,2,1,5,213,1249604,4,7787,,,,,,,
22,2,1,1,213,1249604,4,7787,,,,,,,
7,1,1,11,214,1249606,5,7789,,,,,,,
14,2,2,22,214,1249606,5,7789,,,,,,,
18,2,1,5,213,1249606,4,7789,,,,,,,
23,1,0,17,213,1249606,4,7789,,,,,,,
7,1,1,10,213,1249607,4,7790,,,,,,,
14,2,2,20,213,1249607,4,7790,,,,,,,
15,2,2,7,213,1249607,4,7790,,,,,,,
15,2,1,23,213,1249608,4,7791,,,,,,,
1,0,1,17,214,1249609,5,7792,,,,,,,
1,0,1,23,214,1249609,5,7792,,,,,,,
8,1,2,4,213,1249609,4,7792,,,,,,,
18,2,1,6,213,1249610,4,7793,,,,,,,
16,2,1,10,213,1249611,4,7794,,,,,,,
24,1,0,21,213,1249613,4,7796,,,,,,,
13,2,2,16,213,1249614,4,7797,,,,,,,
15,2,1,16,213,1249614,4,7797,,,,,,,
19,2,1,6,213,1249614,4,7797,,,,,,,
16,2,1,13,213,1249615,4,7798,,,,,,,
6,1,1,19,213,1249616,4,7799,,,,,,,
10,1,2,0,213,1249616,4,7799,,,,,,,
8,1,1,2,213,1249617,4,7800,,,,,,,
16,2,2,4,213,1249617,4,7800,,,,,,,
18,2,1,7,213,1249618,4,7801,,,,,,,
18,2,2,1,213,1249621,4,7804,,,,,,,
20,2,1,4,213,1249621,4,7804,,,,,,,
23,1,0,21,213,1249621,4,7804,,,,,,,
14,2,2,13,213,1249622,4,7805,,,,,,,
15,2,1,12,213,1249622,4,7805,,,,,,,
19,2,2,0,213,1249623,4,7806,,,,,,,
1,0,1,21,214,1249626,5,7809,,,,,,,
15,2,1,24,213,1249626,4,7809,,,,,,,
6,1,1,15,214,1249627,5,7810,,,,,,,
15,2,2,10,213,1249627,4,7810,,,,,,,
20,2,1,2,213,1249627,4,7810,,,,,,,
20,2,1,3,213,1249627,4,7810,,,,,,,
17,2,1,12,213,1249628,4,7811,,,,,,,
7,1,2,15,214,1249629,5,7812,,,,,,,
23,1,0,20,213,1249631,4,7814,,,,,,,
7,1,1,5,214,1249633,5,7816,,,,,,,
14,2,2,10,214,1249633,5,7816,,,,,,,
16,2,1,15,213,1249633,4,7816,,,,,,,
17,2,1,10,213,1249633,4,7816,,,,,,,
13,2,2,19,213,1249634,4,7817,,,,,,,
16,2,1,14,213,1249634,4,7817,,,,,,,
18,2,1,4,213,1249634,4,7817,,,,,,,
16,2,1,20,213,1249635,4,7818,,,,,,,
7,1,2,14,213,1249636,4,7819,,,,,,,
19,2,1,4,213,1249637,4,7820,,,,,,,
13,2,2,20,213,1249638,4,7821,,,,,,,
16,2,1,17,213,1249638,4,7821,,,,,,,
16,2,1,19,213,1249638,4,7821,,,,,,,
15,2,1,15,213,1249639,4,7822,,,,,,,
17,2,1,11,213,1249639,4,7822,,,,,,,
22,2,1,0,213,1249641,4,7824,,,,,,,
1,0,1,19,214,1249642,5,7825,,,,,,,
19,2,1,3,213,1249642,4,7825,,,,,,,
14,2,2,9,213,1249643,4,7826,,,,,,,
17,2,1,17,213,1249644,4,7827,,,,,,,
21,2,1,1,213,1249644,4,7827,,,,,,,
15,2,2,5,213,1249645,4,7828,,,,,,,
16,2,1,11,213,1249645,4,7828,,,,,,,
1,0,1,24,214,1249648,5,7831,,,,,,,
15,2,2,6,214,1249649,5,7832,,,,,,,
6,1,1,23,214,1249650,5,7833,,,,,,,
8,1,2,3,213,1249651,4,7834,,,,,,,
16,2,1,9,213,1249653,4,7836,,,,,,,
17,2,1,7,213,1249653,4,7836,,,,,,,
6,1,1,18,214,1249656,5,7839,,,,,,,
17,2,2,2,213,1249659,4,7842,,,,,,,
20,1,0,14,213,1249660,4,7843,,,,,,,
22,1,0,10,213,1249661,4,7844,,,,,,,
13,2,2,14,213,1249663,4,7846,,,,,,,
15,2,1,9,213,1249663,4,7846,,,,,,,
24,1,0,20,213,1249663,4,7846,,,,,,,
19,1,0,14,213,1249664,4,7847,,,,,,,
21,1,0,24,213,1249664,4,7847,,,,,,,
13,2,2,23,214,1249666,5,7849,,,,,,,
15,2,1,11,213,1249667,4,7850,,,,,,,
23,1,0,15,213,1249667,4,7850,,,,,,,
24,1,0,15,213,1249667,4,7850,,,,,,,
14,2,1,13,213,1249668,4,7851,,,,,,,
16,2,1,8,213,1249670,4,7853,,,,,,,
23,1,0,12,213,1249670,4,7853,,,,,,,
15,2,2,4,213,1249671,4,7854,,,,,,,
6,1,2,24,214,1249672,5,7855,,,,,,,
6,1,2,21,214,1249673,5,7856,,,,,,,
7,1,1,8,214,1249673,5,7856,,,,,,,
9,1,2,1,213,1249673,4,7856,,,,,,,
14,2,2,7,213,1249673,4,7856,,,,,,,
14,2,2,16,214,1249673,5,7856,,,,,,,
18,1,0,21,213,1249673,4,7856,,,,,,,
19,1,0,17,213,1249674,4,7857,,,,,,,
16,2,1,12,213,1249675,4,7858,,,,,,,
13,2,2,13,214,1249676,5,7859,,,,,,,
15,2,1,20,213,1249678,4,7861,,,,,,,
22,1,0,20,213,1249678,4,7861,,,,,,,
16,2,1,16,213,1249681,4,7864,,,,,,,
23,1,0,16,213,1249682,4,7865,,,,,,,
1,0,1,15,214,1249686,5,7869,,,,,,,
13,2,2,9,213,1249686,4,7869,,,,,,,
6,1,1,17,214,1249687,5,7870,,,,,,,
15,2,1,18,213,1249687,4,7870,,,,,,,
20,1,0,9,213,1249687,4,7870,,,,,,,
21,2,1,0,213,1249687,4,7870,,,,,,,
15,2,1,14,213,1249689,4,7872,,,,,,,
20,1,0,10,213,1249689,4,7872,,,,,,,
23,1,0,13,213,1249689,4,7872,,,,,,,
16,2,2,3,213,1249690,4,7873,,,,,,,
20,2,1,1,213,1249691,4,7874,,,,,,,
9,1,1,0,213,1249692,4,7875,,,,,,,
18,2,2,0,213,1249692,4,7875,,,,,,,
24,1,0,22,213,1249693,4,7876,,,,,,,
1,0,1,18,214,1249695,5,7878,,,,,,,
13,2,2,21,214,1249695,5,7878,,,,,,,
6,1,2,22,214,1249696,5,7879,,,,,,,
19,1,0,22,213,1249696,4,7879,,,,,,,
7,1,2,21,214,1249697,5,7880,,,,,,,
14,2,1,19,213,1249697,4,7880,,,,,,,
21,1,0,20,213,1249697,4,7880,,,,,,,
22,1,0,13,213,1249697,4,7880,,,,,,,
18,2,1,3,213,1249698,4,7881,,,,,,,
24,1,0,18,213,1249698,4,7881,,,,,,,
14,2,1,24,213,1249699,4,7882,,,,,,,
3,0,2,2,214,1249700,5,7883,,,,,,,
7,1,2,17,214,1249700,5,7883,,,,,,,
6,1,1,16,214,1249701,5,7884,,,,,,,
22,1,0,22,213,1249701,4,7884,,,,,,,
19,2,1,2,213,1249702,4,7885,,,,,,,
6,1,1,12,214,1249703,5,7886,,,,,,,
12,2,2,24,214,1249703,5,7886,,,,,,,
21,1,0,15,213,1249703,4,7886,,,,,,,
13,2,2,24,214,1249704,5,7887,,,,,,,
16,1,0,24,213,1249704,4,7887,,,,,,,
17,1,0,15,213,1249704,4,7887,,,,,,,
23,1,0,22,213,1249704,4,7887,,,,,,,
20,1,0,20,213,1249705,4,7888,,,,,,,
7,1,1,4,213,1249706,4,7889,,,,,,,
13,2,2,17,214,1249706,5,7889,,,,,,,
14,2,2,8,213,1249706,4,7889,,,,,,,
15,2,1,8,213,1249706,4,7889,,,,,,,
17,1,0,16,213,1249708,4,7891,,,,,,,
17,2,2,1,213,1249708,4,7891,,,,,,,
19,1,0,23,213,1249708,4,7891,,,,,,,
15,2,1,10,213,1249709,4,7892,,,,,,,
17,2,1,5,213,1249709,4,7892,,,,,,,
14,2,1,21,213,1249710,4,7893,,,,,,,
24,1,0,16,213,1249711,4,7894,,,,,,,
13,2,1,20,213,1249712,4,7895,,,,,,,
13,2,2,11,213,1249712,4,7895,,,,,,,
21,1,0,14,213,1249712,4,7895,,,,,,,
7,1,2,5,213,1249713,4,7896,,,,,,,
17,1,0,19,213,1249713,4,7896,,,,,,,
23,1,0,7,213,1249715,4,7898,,,,,,,
22,1,0,24,213,1249716,4,7899,,,,,,,
7,1,2,7,213,1249717,4,7900,,,,,,,
20,1,0,7,213,1249718,4,7901,,,,,,,
22,1,0,11,213,1249718,4,7901,,,,,,,
20,1,0,16,213,1249719,4,7902,,,,,,,
14,2,1,18,213,1249720,4,7903,,,,,,,
13,2,2,8,213,1249722,4,7905,,,,,,,
14,2,1,17,213,1249722,4,7905,,,,,,,
17,2,1,4,213,1249722,4,7905,,,,,,,
18,1,0,24,213,1249723,4,7906,,,,,,,
7,1,2,6,213,1249724,4,7907,,,,,,,
22,1,0,23,213,1249724,4,7907,,,,,,,
16,2,1,5,213,1249725,4,7908,,,,,,,
19,1,0,20,213,1249725,4,7908,,,,,,,
7,1,2,12,214,1249727,5,7910,,,,,,,
18,2,1,2,213,1249727,4,7910,,,,,,,
6,1,1,14,213,1249728,4,7911,,,,,,,
6,1,1,7,214,1249729,5,7912,,,,,,,
12,2,2,14,214,1249729,5,7912,,,,,,,
13,2,1,14,214,1249729,5,7912,,,,,,,
15,2,1,13,213,1249729,4,7912,,,,,,,
